logfc,adjpv,entrez,symbol
-0.314331,0.788581,98314,D2hgdh
-0.275987,0.852356,98363,Efhd1
0.768419,0.216033,98365,Slamf9
-0.73205,0.385672,622645,Tmem200c
-0.212661,0.945396,98366,Smap1
-0.351224,0.998322,622665,Ccdc17
0.151662,0.998322,100042166,Gm3704
-0.13187,0.998104,100042165,BC005561
0.421535,0.998322,327744,E130307A14Rik
-0.0388657,0.998322,229445,Ctso
-0.000449818,0.999249,98376,Gorab
0.0878341,0.998322,100042173,Rps15a-ps6
0.229396,0.998322,100042150,Nrg2
-0.0194753,0.998322,98386,Lbr
-0.425031,0.615258,98388,Chst10
0.201247,0.961019,327762,Dna2
-0.255238,0.879217,622675,Zfp827
-0.290963,0.8286,327768,A330049N07Rik
-0.113231,0.998322,98396,Slc41a1
-0.358538,0.761099,229474,Fhdc1
0.162653,0.972023,229473,D930015E06Rik
0.0164283,0.998322,98403,Zfp451
-0.0616248,0.998322,98402,Sh3bp4
0.0939789,0.998322,98404,AI597479
-0.227324,0.923903,229487,Gatb
0.346527,0.78859,98415,Nucks1
-0.0273578,0.998322,98417,Cnih4
-0.186409,0.957427,327799,Usp44
0.164765,0.971568,229488,Fam160a1
-0.723971,0.548406,229503,Rrnad1
-0.322642,0.998322,100861571,DQ267101
0.776587,0.951394,100861570,DQ267100
-0.679529,0.462237,327812,Gm15663
0.206702,0.941967,98432,Phlpp1
0.176832,0.982905,229504,Isg20l2
0.0218706,0.998322,327814,Ppfia2
0.466619,0.998322,100861572,DQ267102
-0.148064,0.985134,229512,Smg5
-0.368081,0.696015,229517,Slc25a44
0.139659,0.998322,229521,Syt11
0.208678,0.928736,327826,Frs2
-0.362215,0.903813,229524,Msto1
-0.311281,0.805147,229534,Pbxip1
-0.108325,0.998322,229543,Ints3
0.309108,0.784011,229542,Gatad2b
0.076001,0.998322,229541,Dennd4b
0.631849,0.998322,100042049,Gm15421
-0.0543956,0.998322,98488,Gtf3c3
0.346026,0.751645,98496,Pid1
0.121131,0.998322,327872,Gm12018
0.0913154,0.998322,229584,Pogz
-0.15232,0.983435,229589,Prune
-0.452736,0.577621,229588,Gm128
0.223295,0.934831,229595,Adamtsl4
0.347455,0.752974,327900,Ubtd2
0.279925,0.834168,229593,Golph3l
-0.0851144,0.998322,229599,Ciart
-0.192983,0.946643,229603,Otud7b
0.313733,0.982162,229600,BC028528
0.322599,0.812243,229615,Pias3
-0.0563645,0.998322,98558,Mael
-0.68755,0.184029,327942,Pigl
-0.271702,0.873023,327951,Cyb5d1
0.00694835,0.999249,229644,Trim45
-0.0690422,0.998322,327957,Scimp
-0.933902,0.565733,327956,Vmo1
0.488867,0.554743,327959,Xaf1
-0.380782,0.998104,100500713,9530027J09Rik
-0.279651,0.848511,327954,Dnah2
-0.0878336,0.998322,229658,Vangl1
-0.130382,0.998322,229663,Csde1
1.26515,0.0444666,229665,Ampd1
-0.066524,0.998322,229675,Rsbn1
-0.137218,0.998322,229672,Bcl2l15
0.504634,0.53063,327978,Slfn5
-0.309026,0.787345,229681,St7l
0.0414027,0.998322,327987,Med13
0.667302,0.171683,100861753,Gm21188
-0.0985044,0.998322,327992,Hsf5
0.156855,0.998322,229699,Slc16a4
-0.0334633,0.998322,229700,Rbm15
