logfc,adjpv,entrez,symbol
2.4653,0.650055,108168824,Gm14439
0.25921,0.858489,98314,D2hgdh
1.23721,0.5065,622655,Rpsa-ps2
-0.140822,0.976039,98365,Slamf9
-0.163094,0.872479,98366,Smap1
0.495604,0.994971,622665,Ccdc17
0.288484,0.620434,100042165,BC005561
-0.354791,0.97483,327744,E130307A14Rik
0.353296,0.579291,229445,Ctso
0.0642318,0.998155,98376,Gorab
-0.0635923,0.999447,100042173,Rps15a-ps6
-0.54381,0.0223296,98386,Lbr
-0.919702,0.012305,327766,Tmem26
0.424509,0.656475,98388,Chst10
-0.0539243,0.999447,327762,Dna2
-0.170311,0.999447,622673,Gm6341
-0.654022,0.0619688,622675,Zfp827
0.290026,0.51935,98396,Slc41a1
0.593488,0.999447,108168749,Gm13586
-0.233849,0.740105,229474,Fhdc1
0.219429,0.907874,98403,Zfp451
-0.0795512,0.994971,229473,D930015E06Rik
-0.813459,0.024603,98402,Sh3bp4
0.609359,0.0294508,98404,AI597479
-0.101838,0.999447,229487,Pet112
-0.190166,0.727113,98415,Nucks1
0.028148,0.999447,98417,Cnih4
0.324115,0.999447,229488,Fam160a1
0.117458,0.999447,622707,Gm6344
0.339807,0.851969,229503,Rrnad1
-1.34851,0.0273354,98432,Phlpp1
-0.129288,0.964373,229504,Isg20l2
-0.213383,0.669525,229512,Smg5
0.0808698,0.985949,229517,Slc25a44
-0.219578,0.937313,229521,Syt11
-0.0661528,0.997278,327826,Frs2
0.107626,0.989041,229524,Msto1
-0.117143,0.970477,229534,Pbxip1
0.152536,0.925818,100042069,Gm15210
-0.356934,0.257721,229543,Ints3
-0.204512,0.893386,229542,Gatad2b
0.115921,0.999447,100042067,Rpl17-ps5
-0.00621687,0.999447,229541,Dennd4b
0.443803,0.13443,98488,Gtf3c3
0.292625,0.656547,98496,Pid1
-0.030467,0.999447,100861634,Gm21092
0.0597999,0.999447,229584,Pogz
-0.28546,0.816299,229589,Prune
-0.157162,0.956658,229595,Adamtsl4
-0.363299,0.507036,327900,Ubtd2
0.307125,0.575836,229593,Golph3l
-0.378287,0.954017,229599,Gm129
0.00928078,0.999447,229603,Otud7b
0.179927,0.977956,229600,BC028528
0.669177,0.106106,229615,Pias3
0.184803,0.999447,229613,6330549D23Rik
0.250057,0.999447,327942,Pigl
0.266755,0.861032,327951,Cyb5d1
0.129421,0.995778,100041979,Gm3604
0.154396,0.985925,229644,Trim45
-0.573679,0.999447,108169058,Gm8145
0.203395,0.922185,327959,Xaf1
0.223229,0.995629,100500713,9530027J09Rik
0.362313,0.83962,100041953,Gm10094
-0.302199,0.768796,229658,Vangl1
0.677365,0.621719,100041965,Oaz1-ps
0.0211266,0.999447,229663,Csde1
0.299103,0.894658,108169069,Gm16001
0.00297345,0.999455,229675,Rsbn1
0.0496638,0.999447,100041948,Gm9800
0.350566,0.662502,327978,Slfn5
0.129137,0.999447,229681,St7l
0.462186,0.805961,100041925,Gm14586
-0.0488216,0.999447,327987,Med13
0.365352,0.999447,108169039,Gm15522
-0.159924,0.969693,229699,Slc16a4
-0.361382,0.864409,100041907,Gm3571
0.616849,0.988005,100861766,Gm16755
0.0013704,0.999455,229700,Rbm15
-0.0934666,0.972153,229707,Strip1
-0.864597,0.174607,229706,Slc6a17
-0.259462,0.664102,229709,Ahcyl1
0.0196827,0.999447,229715,Amigo1
0.0477984,0.999447,229725,Clcc1
0.00150641,0.999451,229731,Slc25a24
0.145525,0.934654,98682,Mfsd6
0.00185406,0.999455,98685,Trmt1l
0.195286,0.964274,229776,Cdc14a
-0.339512,0.49555,98711,Rdh10
0.230818,0.71068,98710,Rabif
0.0269644,0.999447,229780,Trmt13
-0.212658,0.692538,65945,Clstn1
0.573683,0.305117,328092,Dtd2
2.39278,0.00539213,100861855,Gm16170
-0.516972,0.557945,229791,D3Bwg0562e
0.439501,0.898518,100041835,Gm10039
-0.211231,0.720506,65961,Utp3
0.0337035,0.999447,328108,Fam179b
0.168832,0.784421,65960,Twsg1
1.09129,0.0181704,229801,Tram1l1
0.0213566,0.999447,65963,Tmem176b
0.059986,0.999447,328110,Prpf39
-0.0202354,0.999447,65962,Slc9a3r2
-0.0460579,0.999447,98732,Rab3gap2
-0.0831717,0.992962,65964,Zak
-0.115168,0.970855,65967,Eefsec
-0.583657,0.112012,65970,Lima1
-0.10699,0.97401,65973,Asph
0.418039,0.185197,65972,Ifi30
0.0388024,0.999447,328133,Slc39a9
-0.133477,0.93019,98758,Hnrnpf
0.343393,0.413058,98766,Ubac1
-0.903494,0.0013758,229841,Cenpe
-0.562341,0.9974,108169124,Gm20548
-0.266088,0.943374,66011,Ranbp17
-0.432849,0.424418,328162,Trmt61a
0.490148,0.668545,100041734,4930522L14Rik
0.567312,0.999447,100041732,Gm15222
-0.252612,0.52301,229877,Rap1gds1
0.17221,0.921753,66043,Atp5d
-0.0626415,0.999447,66044,Dtd1
-0.0489024,0.999447,66047,Mrpl54
0.43062,0.670249,66046,Ndufb5
0.143983,0.99189,66049,Rogdi
0.262911,0.656103,66048,Emc6
0.458489,0.344706,66050,0610009B22Rik
0.332326,0.480498,66053,Ppil2
0.0742654,0.999447,66052,Sdhc
0.332426,0.380565,66055,0610009D07Rik
0.10629,0.953191,66054,Cndp2
0.128206,0.988271,66056,Zfp524
0.0637648,0.998319,66059,Krtcap2
-0.0402198,0.999447,66058,Tmem176a
0.0148048,0.999447,100042746,Gm12033
0.189414,0.952085,66061,Tctex1d2
0.143406,0.981512,66060,Cystm1
-0.136008,0.992861,98828,Cdc123
-0.0385959,0.999447,229900,Gbp7
0.326738,0.423083,229906,Gtf2b
0.309114,0.878757,66067,Gtpbp8
0.13129,0.987347,229905,Ccbl2
0.563072,0.230162,66066,Gng11
0.240898,0.783375,66069,Snupn
0.661735,0.0801024,66071,Ethe1
0.101038,0.955112,66070,Cwc15
-0.0588596,0.999447,66073,Txndc12
0.166702,0.993712,100042734,Gm10073
0.298278,0.463269,66072,Sdhaf2
-0.307619,0.388661,66075,Chchd3
0.162682,0.999447,66074,Tmem167
0.086009,0.984943,66077,Aurkaip1
0.598992,0.507888,98845,Eps8l2
0.224394,0.955233,66079,Tmem42
-0.263022,0.734832,66078,Tsen34
0.00231437,0.999455,66083,Setd6
0.200791,0.964978,66082,Abhd6
0.106292,0.952211,66085,Eif3f
-0.0734468,0.999447,66084,Rmnd1
0.000149793,0.999833,66087,Emc3
0.0403755,0.999447,66086,Fopnl
0.0624558,0.999447,66089,Rmnd5b
0.0849337,0.999447,100042719,Gm13509
0.211132,0.728214,66091,Ndufa3
0.980728,0.0129939,66090,Ypel3
-0.845988,0.0163,328232,Gfod1
0.316579,0.319255,66092,Ghitm
0.202294,0.860285,66094,Lsm7
0.0617865,0.999447,66096,Lamtor4
0.110626,0.990928,229937,Znhit6
-0.28522,0.855696,66098,Chchd6
0.0671548,0.999434,66101,Ppih
0.17387,0.900161,66102,Cxcl16
-0.0712713,0.989191,66105,Ube2d3
-0.215011,0.936832,66109,Tspan13
0.68748,0.999447,108168270,Gm15696
0.105881,0.951702,66108,Ndufa9
-0.56785,0.786654,229949,Ak5
0.0703312,0.988617,66111,Tmed3
0.00476946,0.999447,98878,Ehd4
0.509535,0.683573,100042679,Gm16386
0.0453156,0.999447,66114,Dnajc30
-0.129236,0.99044,66117,1110001J03Rik
0.544876,0.758674,66116,Cml1
-0.0818128,0.985995,66118,Sarnp
0.270545,0.617248,66121,Chchd1
-0.151781,0.938957,66120,Fkbp11
0.206509,0.762984,66125,Sf3b5
0.0960601,0.988481,66124,Josd2
-0.0951185,0.972811,66126,Elof1
-0.0650174,0.999447,66129,Aaed1
0.0776907,0.999447,66128,Mrps36
0.124633,0.927158,66131,Tipin
0.211198,0.953796,66132,1110008L16Rik
-0.12742,0.999447,100042670,Rpl28-ps1
-0.00574773,0.999447,66136,Znrd1
0.20439,0.976407,328287,Gm20554
0.0908089,0.993478,66138,Wbscr22
0.336314,0.297319,66141,Ifitm3
-0.194608,0.892075,66140,Ska2
0.193279,0.811373,66143,Eef1e1
-0.123069,0.99336,98910,Usp6nl
0.27373,0.72545,66142,Cox7b
0.242137,0.612523,66144,Atp6v1f
0.241823,0.638431,66147,Necap2
-0.281652,0.616563,66146,Tmem57
0.153747,0.931135,66148,Dnajc15
0.33259,0.896197,66151,Prr13
0.33384,0.902564,66153,Fbxo36
0.327475,0.355083,66152,Uqcr10
0.172251,0.817422,66155,Ufc1
0.00604693,0.999447,66154,Tmem14c
0.0368509,0.999447,66156,Anapc11
0.0308193,0.999447,66158,Cxx1a
0.0486801,0.999447,66161,Pop4
-0.195469,0.815228,66163,Mrpl4
-0.0618526,0.999447,66162,Bola2
-0.275805,0.827248,66165,Bccip
-0.313711,0.431243,98932,Myl9
0.186868,0.795708,66164,Nip7
0.28703,0.43666,66167,Tma7
-0.50176,0.591476,623230,Tmem200b
0.421541,0.176613,66169,Tomm7
0.107841,0.940794,66168,Grina
0.360012,0.654954,66170,Chchd5
0.17337,0.933087,66172,Med11
0.0398103,0.999447,66175,Mustn1
0.70155,0.532571,623223,Gm6410
0.374458,0.780736,66174,Nudt14
0.357525,0.431506,66177,Ubl5
0.577116,0.403983,66176,Nat9
-0.449867,0.991108,66179,Ogfod3
0.328888,0.390222,66181,Nop10
-0.258983,0.695053,66180,Leprel4
0.0814481,0.9784,66185,1110037F02Rik
0.203038,0.869082,230027,Coq3
0.246571,0.975127,98952,Fam102a
-0.0923052,0.999447,66184,Rps4y2
0.0385261,0.999447,328329,Mast4
0.101091,0.991351,98956,Nat10
0.598197,0.44346,66190,Acer3
-0.412284,0.999447,623257,Gm11400
0.0858451,0.99513,66193,Pithd1
0.394433,0.423231,66192,Lage3
0.0967093,0.982355,66194,Pycrl
-0.418616,0.179877,66197,Cks2
0.338373,0.736961,66196,Myo19
-0.00829078,0.999447,66199,Commd4
0.147885,0.933497,66201,Vta1
0.347264,0.517607,66200,Commd6
0.309479,0.861224,66202,1110059G10Rik
0.467615,0.236997,66205,Cd302
0.243335,0.892075,66204,Acyp1
-0.0895821,0.988781,66206,1110059E24Rik
-0.00611369,0.999447,66209,Inip
0.0890554,0.978631,66208,Nenf
0.472704,0.607173,66213,Med7
0.23686,0.608088,66212,Sec61b
-0.0593932,0.999447,66214,Rgcc
-0.908832,0.0935633,328365,Zmiz1
0.389683,0.498911,98985,Clp1
0.203315,0.712506,66218,Ndufb9
-0.016701,0.999447,66220,Zdhhc12
0.256057,0.638926,66223,Mrpl35
-0.404285,0.611074,66222,Serpinb1a
0.469855,0.17313,66225,Llph
1.5266,0.926249,108168384,Gm10268
0.432127,0.61388,66226,Trappc2
0.0042851,0.999455,66229,Rpl7l1
0.207383,0.72183,66231,Thoc7
0.0631969,0.999447,98999,Znfx1
0.0358238,0.999447,328370,Rft1
0.0687318,0.999447,66230,Mrps28
0.691359,0.205596,230075,Ndufb6
-0.084938,0.996334,66233,Dmap1
-0.195308,0.764376,99003,Qser1
-0.0320736,0.999447,230073,Ddx58
-0.095243,0.999447,66235,Eif1ax
-0.0173089,0.999447,66234,Sc4mol
-0.409807,0.975335,66237,Atp6v1g2
0.0576936,0.999447,66241,Tmem9
-0.111433,0.987427,230082,Nol6
-0.373371,0.82475,99011,Pomt1
0.00861444,0.999447,66242,Mrps16
0.211793,0.907944,99010,Lpcat4
-0.074117,0.997919,66245,Hspbp1
0.0680345,0.990792,66244,Nemf
0.169949,0.924435,66246,Osgep
0.0391067,0.999447,66249,Pno1
-0.016848,0.999447,66248,Alg5
-0.145777,0.878259,66251,Arfgap3
0.506833,0.551928,230088,Fam214b
0.283517,0.674389,66253,Aig1
0.167135,0.969914,66254,Dimt1
-0.626023,0.783665,230099,Car9
-0.0577542,0.999447,66257,Nicn1
0.0795828,0.979059,66256,Ssr2
