logfc,adjpv,entrez,symbol
-1.09899,0.0013758,327766,Tmem26
-0.917489,0.00625394,98432,Phlpp1
2.57427,0.00449033,100861855,Gm16170
0.973145,0.0335524,229801,Tram1l1
-0.702557,0.00251504,229841,Cenpe
0.910576,0.00788749,66090,Ypel3
-0.848214,0.015666,328232,Gfod1
-0.809939,0.0013758,66197,Cks2
0.664328,0.01693,66225,Llph
-1.60764,0.0013758,230098,Arhgef39
0.677777,0.0355635,230103,Npr2
0.709707,0.0193824,230119,Zbtb5
0.622237,0.024603,66317,Wdr61
0.753818,0.015666,99151,Cercam
1.01149,0.0013758,66406,Sac3d1
-2.02498,0.0013758,66443,Tnfaip8l1
-0.874576,0.0441417,66468,Ska1
-0.762985,0.0468459,66471,Anp32e
0.758431,0.00788749,66510,Rnf181
0.7567,0.0013758,66522,Pgpep1
2.64712,0.0013758,230379,Acer2
0.760112,0.00251504,66573,Dzip1
-0.915349,0.0320668,99382,Abtb2
1.04694,0.0013758,66701,Spryd4
-0.919096,0.0205864,66752,4933404O12Rik
-0.946358,0.0013758,328949,Mcc
-0.785992,0.0101732,328968,Mir143hg
-0.686766,0.013681,66860,Tanc1
-0.879179,0.0013758,99633,Lphn2
1.97081,0.0217461,230726,Rhbdl2
0.952237,0.0013758,230784,Sesn2
1.36351,0.0013758,66948,Acad8
-0.829129,0.0013758,66977,Nuf2
5.51548,0.0294508,230824,Grhl3
1.14651,0.0013758,230837,Asap3
0.972255,0.0116108,67009,Ttc23
0.978568,0.0013758,67011,Mettl6
-0.629647,0.0223296,67052,Ndc80
0.910138,0.00943001,230991,B930041F14Rik
1.117,0.0294508,67168,Lpar6
0.978915,0.0108929,67217,L3hypdh
1.59329,0.0013758,67226,Tmem19
0.793031,0.00449033,67260,Cers4
0.874749,0.00251504,67369,Qpctl
0.612423,0.0320668,67454,Ikbip
0.80445,0.0101732,67457,Frmd8
-0.703561,0.00449033,329628,Fat4
1.3525,0.00251504,67564,Tmem35
1.32808,0.0013758,100340,Smpdl3b
-0.933004,0.013681,100041230,Hist1h4m
1.35552,0.0013758,329727,Dennd2c
-1.27007,0.00867044,67621,Bend5
-0.814706,0.0013758,231633,Tmem119
2.72652,0.0013758,67874,Rprm
0.865807,0.00539213,231712,Trafd1
2.53288,0.0013758,67880,Dcxr
-0.895476,0.0013758,67916,Ppap2b
0.784125,0.0013758,67920,Mak16
0.623561,0.00449033,67941,Rps27l
-1.02982,0.00788749,231861,Tnrc18
0.880039,0.0013758,68048,Aen
0.613674,0.0355635,232023,Vopp1
0.686434,0.015004,68212,Tmbim4
-0.998286,0.0175554,232174,Cyp26b1
1.51643,0.0013758,68337,Crip2
1.2735,0.00708637,68423,Ankrd13d
0.751216,0.0101732,68473,Mob1b
1.12771,0.00449033,101240,Wdr91
-0.924029,0.00625394,68549,Sgol2
0.726406,0.00251504,68559,Pdrg1
1.53018,0.0013758,68567,Cgref1
-1.21006,0.00708637,232441,Rerg
0.873638,0.0013758,232440,H2afj
-0.967899,0.0013758,68612,Ube2c
1.0675,0.0013758,68618,1110012L19Rik
4.81601,0.0013758,68666,Svop
0.745591,0.0013758,232539,Klhl42
0.6244,0.0163,68724,Arl8a
-1.10815,0.0013758,68743,Anln
1.1619,0.0211703,330938,Dixdc1
0.716514,0.0234635,232748,Fam115c
1.31698,0.0013758,69234,Zfp688
-1.02048,0.0013758,233107,Kctd15
2.06425,0.0217461,102075,Plekhg4
4.19196,0.0013758,69327,1700007K13Rik
1.00015,0.00449033,233246,Ano5
0.721795,0.00251504,69470,Tmem127
1.63147,0.0013758,233335,Synm
-1.15591,0.0013758,233406,Prc1
1.15957,0.0013758,69635,Dapk1
1.85553,0.00943001,69638,Enho
-0.670187,0.0499427,69736,Nup37
1.32289,0.00353601,102626,Mapkapk3
-1.08738,0.0013758,233733,Galnt18
-1.97422,0.0013758,233752,Insc
0.752231,0.0013758,233863,Gtf3c1
1.93476,0.0163,100504687,2810029C07Rik
-0.632239,0.0355635,102920,Cenpi
0.67542,0.0320668,70155,Ogfrl1
0.805332,0.0432131,234086,Erich1
1.44961,0.0013758,332397,Nanos1
-1.29686,0.012305,234214,Sorbs2
-1.06802,0.0013758,70466,Ckap2l
0.870567,0.0013758,234378,Klhl26
-0.613399,0.0101732,70549,Tln2
-1.1688,0.0175554,234396,Ankle1
-0.881589,0.0143456,627626,Ptchd4
0.791761,0.00251504,234463,Tmem184c
0.602623,0.00539213,70683,Utp20
3.55971,0.00353601,234673,Ces2e
1.89871,0.0013758,70967,Eva1c
1.53041,0.00353601,333182,Cox6b2
1.30973,0.0390286,71091,Cdkl1
-1.80118,0.015666,71206,Katnal2
1.75539,0.0013758,235086,Igsf9b
-1.09717,0.019979,235130,Adamts15
1.44197,0.0013758,104175,Sbk1
-0.984968,0.0013758,71409,Fmnl2
3.18869,0.0013758,235281,Scn3b
-0.71115,0.00788749,71446,Wrb
2.11679,0.0013758,104271,Tex15
1.50419,0.0193824,235345,4833427G06Rik
-0.795677,0.01693,71544,Arhgap42
-0.919604,0.0108929,71566,Clmp
1.17224,0.0013758,235493,Fam214a
0.832617,0.00449033,71684,Rbm43
0.647027,0.0390286,71712,Dram1
0.901805,0.0013758,71729,Rgs12
2.58525,0.0013758,71740,Pvrl4
0.936419,0.036559,235633,Als2cl
-0.954556,0.0013758,71819,Kif23
3.63156,0.0013758,235674,Acaa1b
2.12836,0.00867044,71837,1700003E16Rik
-0.852639,0.0013758,72007,Fndc3b
-1.62764,0.00353601,72080,Sapcd2
-1.44308,0.0013758,268697,Ccnb1
-1.07008,0.0013758,72119,Tpx2
-0.633848,0.00449033,170439,Elovl6
1.00987,0.0163,170460,Stard5
1.24522,0.0143456,104943,Fam110c
1.4072,0.0013758,268935,Scube3
-0.699492,0.013681,170643,Kirrel
2.22347,0.0013758,72361,Ces2g
-0.618218,0.0404618,268970,Arhgap28
-1.42473,0.00251504,72391,Cdkn3
0.831339,0.046397,170706,Tmem37
0.911384,0.0116108,105171,Arrdc3
1.06978,0.0013758,170770,Bbc3
-0.914016,0.0013758,170829,Tram2
-1.0258,0.0013758,269152,Kif26b
-0.842132,0.00353601,72549,Reep4
1.35748,0.0013758,105501,Abhd4
2.07107,0.00539213,269356,Slc4a11
1.51797,0.0013758,105732,Fam83h
3.06436,0.0013758,269589,Sytl1
1.88003,0.0013758,73095,Slc25a42
1.12945,0.0013758,269717,Orai2
-0.762531,0.0013758,105988,Espl1
-0.755186,0.0193824,73230,Bmper
1.46304,0.00539213,73284,Ddit4l
0.826163,0.00251504,73338,Itpripl1
-0.935928,0.00867044,270118,Maml2
1.86995,0.0013758,237387,Lrrc3
-0.724522,0.00943001,237436,Gas2l3
0.815496,0.00353601,73689,Bloc1s2
0.936221,0.0013758,73739,Cby1
1.17301,0.0013758,73748,Adc
-0.70402,0.0013758,434215,Lrrc32
-1.37865,0.0013758,73804,Kif2c
1.72264,0.0013758,73828,Dcaf4
1.29298,0.0335524,73873,Fam161a
1.20937,0.00943001,434341,Nlrc5
0.907864,0.0013758,74012,Rap2b
-1.25927,0.00867044,74016,Phf19
1.46226,0.0335524,74032,Sdr42e1
1.50015,0.0013758,74041,4632434I11Rik
-0.650094,0.0418279,237886,Slfn9
-0.61492,0.0380518,74107,Cep55
2.10625,0.00449033,238076,Kcns3
1.14463,0.0450364,74253,Klrg2
-1.04406,0.0013758,270906,Prr11
-1.46713,0.0340435,74318,Hopx
4.93935,0.00251504,74337,Palm3
0.814971,0.0432131,74349,Fam160a2
1.14729,0.0251627,271005,Klhdc1
-0.818579,0.00539213,74480,Samd4
1.20028,0.0481749,74519,Cyp2j9
1.66926,0.0013758,74597,4833418N02Rik
1.42228,0.0013758,74637,Shpk
1.1929,0.0013758,74682,Wdr35
2.61367,0.0013758,74711,Ttll9
0.688693,0.0205864,74718,Snx16
1.15093,0.0013758,74747,Ddit4
-0.812586,0.015666,107515,Lgr4
-0.713737,0.00353601,107589,Mylk
1.23429,0.0013758,238692,Zfp874a
0.912556,0.00867044,107869,Cth
0.750349,0.00353601,239017,Ogdhl
-1.0036,0.0193824,75209,Sv2c
-0.768676,0.0325616,107995,Cdc20
-1.61509,0.0013758,108000,Cenpf
-1.05365,0.0345501,108052,Slc14a1
-0.634519,0.0370598,108058,Camk2d
1.747,0.0013758,108079,Prkaa2
-1.4293,0.0013758,75317,Parpbp
-0.924678,0.0315429,108089,Rnf144a
0.640788,0.0217461,108100,Baiap2
2.10313,0.00251504,272009,Srsf12
-0.801046,0.00867044,239405,Rspo2
-0.778512,0.0013758,75646,Rai14
0.863471,0.00539213,75739,Mpp7
-1.49215,0.0013758,75786,Ckap5
2.73887,0.00943001,665700,Hmcn2
0.894997,0.0013758,108671,Dnajc9
0.671693,0.0205864,108767,Pnrc1
-0.897261,0.00353601,108797,Mex3b
-0.995319,0.00353601,207181,Rbms3
-1.19683,0.0013758,76131,Depdc1a
-1.07701,0.0013758,108907,Nusap1
-0.76941,0.0228997,108912,Cdca2
-0.65523,0.00251504,108927,Lhfp
-0.699124,0.0013758,76199,Med13l
-0.927344,0.0472839,666048,Trabd2b
0.836276,0.00353601,109019,Nabp1
1.64445,0.0013758,109050,Fam212b
-1.22379,0.0013758,109212,Fam64a
2.50322,0.00353601,76459,Car12
-0.924623,0.0013758,240427,Setbp1
1.59609,0.0143456,240505,Cdc42bpg
-0.983459,0.0013758,240641,Kif20b
0.617032,0.0390286,76820,Fam49a
1.48655,0.0013758,76835,2900052L18Rik
1.52994,0.0108929,76886,Fam81a
-1.14506,0.0013758,666704,Samd1
1.03377,0.0013758,109674,Ampd2
-0.659039,0.00539213,109711,Actn1
