logfc,adjpv,entrez,symbol
-0.19336,0.938223,1,A1BG
-0.285904,0.930284,2,A2M
0.038342,0.999739,131076,CCDC58
-0.354875,0.713311,9,NAT1
0.118095,0.93642,12,SERPINA3
1.03988,0.786318,13,AADAC
0.073771,0.998942,14,AAMP
0.617419,0.00192303,16,AARS
0.11836,0.982466,163859,C1orf55
-0.229692,0.761645,18,ABAT
-0.648209,0.00493975,19,ABCA1
0.192264,0.708895,20,ABCA2
0.0101897,0.999739,21,ABCA3
-0.246852,0.71014,22,ABCB7
0.055851,0.999739,25,ABL1
-0.0299177,0.999739,27,ABL2
0.0911546,0.990109,29,ABR
0.0902769,0.985215,30,ACAA1
0.351105,0.160837,31,ACACA
0.0945474,0.999739,32,ACACB
-0.187613,0.787872,34,ACADM
0.352675,0.249126,35,ACADS
-0.163207,0.852545,36,ACADSB
0.371213,0.223508,37,ACADVL
-0.245493,0.482158,38,ACAT1
0.260987,0.999739,39,ACAT2
-1.14573,0.0656031,40,ACCN1
0.0723871,0.999739,163882,CNST
-0.34433,0.414631,41,ACCN2
-0.0639125,0.999739,43,ACHE
-0.0952226,0.99885,131118,DNAJC19
0.343176,0.186366,47,ACLY
-0.0972612,0.971806,48,ACO1
-0.0134884,0.999739,50,ACO2
0.107556,0.994178,51,ACOX1
-0.130947,0.9086,52,ACP1
0.168979,0.928976,53,ACP2
0.0592258,0.999739,54,ACP5
-0.589279,0.683444,55,ACPP
0.0311666,0.999739,59,ACTA2
0.245818,0.73255,72,ACTG2
0.309763,0.512274,81,ACTN4
-1.75737,0.999739,100500905,MIR3661
0.00478733,0.999739,86,ACTL6A
-0.207628,0.795461,87,ACTN1
-0.0299376,0.999739,90,ACVR1
0.585914,0.00192303,91,ACVR1B
0.350809,0.883994,92,ACVR2A
0.407878,0.670517,93,ACVR2B
0.342417,0.193392,94,ACVRL1
0.600348,0.102999,95,ACY1
-0.0649084,0.999739,97,ACYP1
0.00145788,0.999739,98,ACYP2
0.103979,0.999739,100,ADA
0.330207,0.896708,101,ADAM8
-0.173477,0.767727,102,ADAM10
-0.00128598,0.999739,103,ADAR
1.61663,0.77554,100861540,CYP3A7-CYP3AP1
-0.691755,0.0244443,104,ADARB1
-1.21488,0.00192303,107,ADCY1
-0.020151,0.999739,109,ADCY3
-0.147334,0.999739,111,ADCY5
-0.172849,0.772577,112,ADCY6
-0.395371,0.172808,113,ADCY7
-0.164382,0.999739,114,ADCY8
-0.150356,0.835602,115,ADCY9
0.458818,0.999739,100500872,MIR3911
-0.0616747,0.999739,118,ADD1
-0.0142385,0.999739,120,ADD3
10,0.0199573,100500871,MIR3622B
0.12479,0.921158,123,PLIN2
-0.123338,0.999739,124,ADH1A
-0.340813,0.59589,125,ADH1B
-0.348128,0.819486,126,ADH1C
-0.126938,0.93994,128,ADH5
-0.16558,0.999739,130,ADH6
1.96218,0.143224,100500862,MIR3648
-0.219349,0.675738,132,ADK
0.142281,0.991641,196743,PAOX
-0.149104,0.946299,133,ADM
-0.444488,0.284774,134,ADORA1
-0.462941,0.0293381,196740,VSTM4
-0.000368074,0.999739,136,ADORA2B
0.393247,0.999739,100500849,MIR3916
-0.124039,0.999739,141,ADPRH
10,0.200605,100500851,MIR3918
0.0235932,0.999739,142,PARP1
-0.0892451,0.982105,143,PARP4
0.434019,0.725952,146,ADRA1D
-0.52973,0.43184,147,ADRA1B
-0.83762,0.0120542,150,ADRA2A
0.20282,0.999739,154,ADRB2
0.216931,0.594883,156,ADRBK1
0.135133,0.998393,157,ADRBK2
0.0947832,0.983547,158,ADSL
-0.205821,0.653038,159,ADSS
-0.0376639,0.999739,160,AP2A1
-0.0786391,0.996458,161,AP2A2
-0.00424627,0.999739,162,AP1B1
-0.141797,0.893564,163,AP2B1
0.024746,0.999739,164,AP1G1
0.233045,0.763504,165,AEBP1
-0.0151655,0.999739,166,AES
10,0.562744,100500826,MIR3909
0.475406,0.619279,172,AFG3L1P
-0.354995,0.259713,175,AGA
1.61893,0.00192303,176,ACAN
-0.250408,0.538433,178,AGL
0.289578,0.345332,182,JAG1
0.00900558,0.999739,183,AGT
0.156421,0.990656,185,AGTR1
-0.0405218,0.999739,196792,FAM24B
0.0779185,0.999739,190,NR0B1
-0.129263,0.905752,191,AHCY
0.215931,0.640092,196,AHR
0.0744883,0.998857,203,AK1
0.030095,0.999739,204,AK2
-0.231881,0.626856,205,AK4
0.05858,0.999739,207,AKT1
-0.0112347,0.999739,208,AKT2
-0.261208,0.391556,210,ALAD
-0.0587519,0.999739,211,ALAS1
-0.205347,0.671413,214,ALCAM
0.0981742,0.980645,215,ABCD1
-1.04926,0.00192303,216,ALDH1A1
0.0550117,0.999739,217,ALDH2
0.849583,0.392299,218,ALDH3A1
-0.469467,0.0493096,219,ALDH1B1
-0.0344919,0.999739,220,ALDH1A3
0.144172,0.884854,221,ALDH3B1
-0.204046,0.660128,223,ALDH9A1
0.0744958,0.999739,224,ALDH3A2
-0.045425,0.999739,226,ALDOA
0.0832108,0.998931,230,ALDOC
0.401148,0.094129,231,AKR1B1
0.187061,0.999739,239,ALOX12
0.0851973,0.999739,241,ALOX5AP
1.3725,0.00192303,249,ALPL
0.122842,0.93946,164091,PAQR7
0.320865,0.835752,257,ALX3
0.0476689,0.999739,259,AMBP
0.158516,0.838618,262,AMD1
0.206646,0.921334,100533496,FAM18B2-CDRT4
-0.118236,0.926296,267,AMFR
0.981789,0.11551,268,AMH
0.0597665,0.999739,271,AMPD2
0.554587,0.298837,196883,ADCY4
-0.377994,0.20337,272,AMPD3
-0.560819,0.076852,273,AMPH
0.213182,0.641562,274,BIN1
0.781096,0.236741,275,AMT
-0.89281,0.999739,100533483,DYX1C1-CCPG1
0.99333,0.280819,280,AMY2B
0.139188,0.999739,283,ANG
-0.601095,0.00192303,284,ANGPT1
-0.679718,0.132095,286,ANK1
-0.634816,0.00192303,287,ANK2
-0.0704481,0.999739,290,ANPEP
0.0670689,0.999739,291,SLC25A4
-0.148005,0.852764,292,SLC25A5
-0.46072,0.829256,100533467,BIVM-ERCC5
-0.115234,0.999739,100533464,PRH1-PRR4
-0.654008,0.00351547,301,ANXA1
0.066942,0.999739,302,ANXA2
0.00214949,0.999739,304,ANXA2P2
-0.919497,0.058225,306,ANXA3
-0.0130592,0.999739,307,ANXA4
-0.268776,0.688954,308,ANXA5
-0.289392,0.473177,309,ANXA6
0.0671812,0.999739,310,ANXA7
-0.273587,0.485521,311,ANXA11
0.784018,0.267294,314,AOC2
0.0560904,0.999739,316,AOX1
-0.183832,0.854848,317,APAF1
-0.12309,0.980144,318,NUDT2
0.00692022,0.999739,320,APBA1
-0.0712555,0.999739,321,APBA2
0.127958,0.909699,322,APBB1
-0.255168,0.454103,323,APBB2
-0.272457,0.449556,324,APC
0.0395065,0.999739,327,APEH
0.109887,0.949216,328,APEX1
-0.187556,0.708238,329,BIRC2
-0.984322,0.0448119,330,BIRC3
-0.0943458,0.979863,331,XIAP
-0.784152,0.0520232,332,BIRC5
0.367431,0.496729,333,APLP1
0.0625253,0.999739,334,APLP2
-0.0365072,0.999739,131408,FAM131A
-0.423525,0.999739,196951,C15orf33
-0.225083,0.984085,341,APOC1
0.543864,0.0268869,347,APOD
-0.619998,0.0208567,348,APOE
0.0644468,0.999739,351,APP
0.193798,0.685224,353,APRT
-0.253103,0.988279,355,FAS
-0.735647,0.244905,357,SHROOM2
0.243039,0.911593,358,AQP1
-0.520582,0.194008,360,AQP3
-0.0141359,0.999739,196968,DNM1P46
-0.549591,0.878875,364,AQP7
0.0491551,0.999739,367,AR
-0.780445,0.60503,368,ABCC6
0.189822,0.999739,369,ARAF
-0.0446657,0.999739,372,ARCN1
-0.0901446,0.999669,373,TRIM23
0.0346331,0.999739,375,ARF1
-0.0433834,0.999739,377,ARF3
-0.200906,0.716178,378,ARF4
0.614048,0.00867651,379,ARL4D
-0.110428,0.941742,381,ARF5
-0.36021,0.113198,382,ARF6
-0.226364,0.999739,384,ARG2
-0.202102,0.775193,387,RHOA
-0.768856,0.00192303,388,RHOB
-0.119837,0.940018,389,RHOC
-0.543912,0.0619738,390,RND3
0.0940227,0.978212,391,RHOG
0.0134702,0.999739,392,ARHGAP1
0.612428,0.440748,393,ARHGAP4
-0.281006,0.338498,394,ARHGAP5
-0.28621,0.554051,395,ARHGAP6
0.0706624,0.999739,396,ARHGDIA
-0.15649,0.999739,397,ARHGDIB
-0.1973,0.664633,400,ARL1
0.118245,0.998232,131474,CHCHD4
0.210617,0.718767,402,ARL2
-0.351185,0.226936,403,ARL3
-0.0726642,0.999739,405,ARNT
0.411569,0.26534,406,ARNTL
-0.349299,0.289812,408,ARRB1
0.314852,0.52841,409,ARRB2
0.213548,0.612431,410,ARSA
-0.307032,0.317083,411,ARSB
-0.224316,0.590303,412,STS
0.271247,0.509606,414,ARSD
-0.638881,0.919538,197021,LCTL
0.496736,0.463047,415,ARSE
0.137583,0.999739,421,ARVCF
-0.142742,0.884827,427,ASAH1
0.183093,0.999739,432,ASGR1
0.183731,0.818085,435,ASL
-0.644734,0.581604,65975,STK33
0.0181225,0.999739,439,ASNA1
0.273879,0.51101,440,ASNS
-0.0608682,0.999739,65977,PLEKHA3
-0.0920729,0.992422,65979,PHACTR4
-0.955167,0.00982108,443,ASPA
-0.310752,0.500677,444,ASPH
0.210961,0.747877,65981,CAPRIN2
-0.463725,0.0316817,445,ASS1
0.0307272,0.999739,65980,BRD9
-0.589129,0.0377938,164284,APCDD1L
-0.00672293,0.999739,65983,GRAMD3
0.224346,0.596062,65982,ZSCAN18
0.0601766,0.999739,65985,AACS
-0.0859518,0.999739,65986,ZBTB10
-0.171972,0.999739,65989,DLK2
0.286808,0.640253,65988,ZNF747
-0.13948,0.890615,65991,FUNDC2
0.19166,0.876899,65990,FAM173A
0.010548,0.999739,65993,MRPS34
0.0054247,0.999739,65992,DDRGK1
-0.603768,0.611978,65997,RASL11B
0.385159,0.953434,65999,LRRC61
0.0663449,0.999739,65998,C11orf95
-0.00504978,0.999739,463,ZFHX3
-0.158625,0.866238,466,ATF1
-1.11142,0.00192303,467,ATF3
-0.0453003,0.999739,468,ATF4
0.0348455,0.999739,66005,CHID1
0.353962,0.406759,66004,LYNX1
0.142324,0.860161,471,ATIC
-0.10829,0.951828,472,ATM
-0.00713024,0.999739,473,RERE
-0.374579,0.1146,66008,TRAK2
-0.0891964,0.991697,475,ATOX1
0.137791,0.912726,476,ATP1A1
0.492408,0.261495,477,ATP1A2
0.23856,0.912076,481,ATP1B1
-0.313166,0.234848,483,ATP1B3
1.23139,0.875666,486,FXYD2
-0.223176,0.721589,488,ATP2A2
0.0558639,0.999739,489,ATP2A3
0.763176,0.00192303,490,ATP2B1
-0.209738,0.619596,131566,DCBLD2
-0.0331548,0.999739,493,ATP2B4
-0.248165,0.562522,498,ATP5A1
0.190909,0.896782,66035,SLC2A11
