logfc,adjpv,entrez,symbol
1.7198,0.00192303,2,A2M
1.55672,0.00192303,12,SERPINA3
-1.74275,0.0413302,40,ACCN1
1.9041,0.00192303,72,ACTG2
3.53807,0.0370129,100500862,MIR3648
-1.30743,0.0419406,147,ADRA1B
1.75704,0.00192303,165,AEBP1
-2.39601,0.00192303,176,ACAN
1.01918,0.00351547,183,AGT
-0.865288,0.00351547,214,ALCAM
-1.50944,0.00192303,216,ALDH1A1
0.848328,0.00625935,230,ALDOC
1.90619,0.00192303,249,ALPL
-1.33837,0.00982108,286,ANK1
-0.867898,0.00192303,287,ANK2
-1.01509,0.00192303,301,ANXA1
-2.07133,0.00192303,306,ANXA3
-1.78742,0.00625935,330,BIRC3
1.94003,0.00192303,347,APOD
2.1909,0.00192303,348,APOE
1.28055,0.00192303,358,AQP1
-1.44108,0.0170861,443,ASPA
-1.36238,0.00192303,445,ASS1
-1.2905,0.00192303,164284,APCDD1L
1.50741,0.00351547,477,ATP1A2
0.615984,0.0474555,573,BAG1
0.777776,0.00867651,586,BCAT1
-1.27152,0.00982108,590,BCHE
1.52353,0.0286049,596,BCL2
2.82896,0.0151252,597,BCL2A1
0.888608,0.00192303,604,BCL6
-1.58376,0.00192303,623,BDKRB1
1.1909,0.0120542,639,PRDM1
0.619387,0.0377938,652,BMP4
-0.640982,0.0370129,669,BPGM
-1.36914,0.00192303,684,BST2
-1.35734,0.00192303,730,C7
3.15218,0.00192303,768,CA9
0.891283,0.0131458,771,CA12
1.84825,0.0487259,794,CALB2
-1.90816,0.0461477,815,CAMK2A
-1.04255,0.0244443,834,CASP1
-0.675045,0.0252741,896,CCND3
2.50681,0.00192303,929,CD14
-1.66083,0.0268869,948,CD36
1.13977,0.0109172,1012,CDH13
-2.95128,0.0235895,1016,CDH18
-0.96067,0.00192303,1021,CDK6
0.956207,0.00351547,1028,CDKN1C
2.04432,0.00750483,1038,CDR1
0.739323,0.00750483,1051,CEBPB
0.668994,0.0260452,1052,CEBPD
1.99018,0.00192303,1066,CES1
-1.27212,0.00192303,1075,CTSC
1.25861,0.0190176,1116,CHI3L1
1.55379,0.00192303,1117,CHI3L2
-0.660564,0.0354687,1123,CHN1
-0.96495,0.00192303,1129,CHRM2
-0.841256,0.00493975,1152,CKB
1.51141,0.00192303,1183,CLCN4
-1.15571,0.00192303,132332,TMEM155
2.87395,0.00625935,1288,COL4A6
2.26486,0.00351547,1306,COL15A1
1.05916,0.00192303,1307,COL16A1
-0.736263,0.00867651,1316,KLF6
1.2131,0.00192303,1363,CPE
-0.793795,0.00351547,1374,CPT1A
3.24655,0.00192303,1396,CRIP1
-1.18458,0.00192303,1404,HAPLN1
-0.843634,0.00192303,1410,CRYAB
-1.85943,0.00192303,1520,CTSS
-0.737442,0.0170861,1534,CYB561
3.68868,0.00192303,1551,CYP3A7
2.80487,0.00192303,1577,CYP3A5
2.72868,0.00192303,1588,CYP19A1
-1.86112,0.0252741,1600,DAB1
-0.85011,0.00192303,1612,DAPK1
1.76612,0.00351547,1674,DES
-1.48621,0.00192303,1728,NQO1
-0.833186,0.0199573,1734,DIO2
-1.8106,0.00192303,1767,DNAH5
0.805709,0.0120542,1803,DPP4
-1.499,0.00192303,1827,RCAN1
-0.633451,0.0324977,1845,DUSP3
-1.32467,0.00192303,1847,DUSP5
-1.1304,0.00192303,1903,S1PR3
1.41047,0.00192303,1909,EDNRA
0.693962,0.0190176,1948,EFNB2
1.64793,0.00192303,1958,EGR1
3.42718,0.00192303,1959,EGR2
0.894876,0.00192303,1992,SERPINB1
2.19002,0.00192303,2006,ELN
-0.663746,0.0339611,2009,EML1
0.860683,0.00192303,2026,ENO2
1.9759,0.0109172,2028,ENPEP
-2.92248,0.00192303,2044,EPHA5
-0.750424,0.0131458,2114,ETS2
1.01955,0.0316817,2138,EYA1
-0.711993,0.0268869,2149,F2R
-0.92969,0.00192303,2151,F2RL2
-1.10344,0.00192303,2152,F3
-1.13009,0.00192303,2159,F10
-0.786969,0.0244443,2239,GPC4
-1.23298,0.00750483,2246,FGF1
1.02073,0.0208567,2256,FGF11
2.15397,0.00493975,2304,FOXE1
1.09075,0.00192303,2327,FMO2
0.902875,0.0190176,2331,FMOD
2.61169,0.00192303,2353,FOS
-3.03862,0.00192303,2537,IFI6
0.823013,0.00493975,2549,GAB1
-0.954571,0.00192303,2633,GBP1
-0.714094,0.00625935,2635,GBP3
1.68799,0.00192303,2662,GDF10
0.770974,0.00750483,2669,GEM
0.664622,0.0235895,133746,JMY
1.54732,0.00192303,2719,GPC3
-1.34749,0.00192303,2730,GCLM
-0.720229,0.0332554,2745,GLRX
-0.714025,0.00982108,2791,GNG11
-0.784267,0.0339611,2817,GPC1
-1.85476,0.0120542,2888,GRB14
-4.37442,0.00192303,2919,CXCL1
-3.23347,0.00192303,2921,CXCL3
0.708125,0.00867651,2995,GYPC
0.655668,0.0399348,2997,GYS1
-0.922433,0.0208567,3037,HAS2
-1.56546,0.00192303,3082,HGF
-0.955868,0.00625935,3087,HHEX
0.647296,0.0413302,3099,HK2
-1.22254,0.0434569,134285,TMEM171
1.08751,0.00192303,3290,HSD11B1
-1.50651,0.0151252,3397,ID1
-1.39555,0.00192303,3399,ID3
-1.41418,0.00493975,3400,ID4
0.792091,0.00750483,3417,IDH1
2.28107,0.00192303,3418,IDH2
-2.49256,0.00192303,3429,IFI27
-1.08512,0.00192303,3433,IFIT2
-2.06094,0.00192303,3434,IFIT1
-1.5201,0.00192303,3437,IFIT3
2.87023,0.00192303,3479,IGF1
0.992818,0.00625935,3485,IGFBP2
-4.79198,0.00192303,3576,IL8
-1.60509,0.00192303,3598,IL13RA2
2.56738,0.00192303,3625,INHBB
-0.746775,0.0151252,3659,IRF1
-0.976335,0.00351547,3673,ITGA2
1.94214,0.00192303,3708,ITPR1
1.1105,0.00192303,3726,JUNB
1.11382,0.00192303,3732,CD82
-1.90585,0.00192303,3751,KCND2
1.35102,0.00982108,3752,KCND3
-0.931044,0.039269,3776,KCNK2
5.01789,0.00351547,3777,KCNK3
-0.876065,0.00192303,3778,KCNMA1
-1.49786,0.00192303,3815,KIT
0.820554,0.0413302,200424,TET3
-0.641323,0.0399348,3842,TNPO1
-1.9058,0.00192303,167681,PRSS35
4.64319,0.00192303,3952,LEP
-1.40349,0.00192303,3976,LIF
