symbol,entrez,logfc,adjpv
"ADAR",103,0.584207913966209,0.000001
"CFB",629,1.11677854469241,0.000001
"C1R",715,0.868254394176592,0.000001
"C1S",716,0.722128761986431,0.000001
"C3",718,0.688635678809131,0.000001
"IFI6",2537,4.33374584467612,0.000001
"CXCL2",2920,0.67282954345791,0.000001
"IFI27",3429,3.5333921656073,0.000001
"IFI35",3430,1.14939115195029,0.000001
"SP110",3431,1.28089559563515,0.000001
"IFIT1",3434,4.2966371906534,0.000001
"IFIT3",3437,1.96962043806751,0.000001
"IL8",3576,0.723290211910006,0.000001
"IRF7",3665,3.18464979188666,0.000001
"LGALS3BP",3959,0.654514455644059,0.000001
"MX1",4599,5.06686251506369,0.000001
"OAS1",4938,1.54406749883393,0.000001
"OAS2",4939,4.19145662055822,0.000001
"OAS3",4940,1.3886718412228,0.000001
"PLSCR1",5359,1.07982799419969,0.000001
"EIF2AK2",5610,1.23528147820688,0.000001
"RAP1GAP",5909,-0.661703508699729,0.000001
"SAT1",6303,0.665449995637611,0.000001
"CCL20",6364,1.0226696674891,0.000001
"CXCL5",6374,0.770849711252075,0.000001
"SP100",6672,0.936549499755338,0.000001
"STAT1",6772,1.32522211782807,0.000001
"TRIM25",7706,0.546860065052216,0.000001
"OASL",8638,2.68935640303306,0.000001
"UBE2L6",9246,0.759337108638722,0.000001
"ISG15",9636,3.76665175742994,0.000001
"TRIM14",9830,1.14381689277139,0.000001
"REC8",9985,1.38784415252234,0.000001
"IRF9",10379,2.16046346765366,0.000001
"DKK1",22943,0.50205456464087,0.000001
"DDX58",23586,1.77200656148527,0.000001
"IFIT5",24138,0.940940962787379,0.000001
"SAMHD1",25939,0.97870026129138,0.000001
"LAP3",51056,0.956858420278345,0.000001
"HERC5",51191,0.902829871670056,0.000001
"PARP14",54625,0.885106384633022,0.000001
"HERC6",55008,1.46115929894876,0.000001
"C19orf66",55337,0.867586001241816,0.000001
"DDX60",55601,2.29974191240372,0.000001
"IFIH1",64135,1.81198066342222,0.000001
"PARP12",64761,0.862692953417069,0.000001
"PARP9",83666,2.07503354148675,0.000001
"PARP10",84875,1.91241879505489,0.000001
"HELZ2",85441,1.49937904435833,0.000001
"DDX60L",91351,0.995596398398632,0.000001
"DTX3L",151636,1.38043879150663,0.000001
"SAMD9L",219285,1.88644092961509,0.000001
"SYNE1",23345,-0.572523710771779,0.0000013768719408527
"OSGIN1",29948,-0.643572537598064,0.00000186693941936914
"STAT2",6773,0.57658718310298,0.00000221704723160149
"USP18",11274,0.920202706179045,0.00000352178008732568
"FGA",2243,0.630887611040706,0.00000382644748484781
"IFITM1",8519,4.21280280774313,0.00000416395568487585
"PNPT1",87178,0.678547531878462,0.00000479852782527592
"TYMP",1890,0.773553773711954,0.0000049526296006133
"KRT4",3851,-1.14552783953536,0.00000497174174471115
"UAP1L1",91373,-0.742817892276271,0.00000591690552889823
"APOL1",8542,0.75063449037977,0.00000618637972795715
"AHNAK2",113146,-0.435453693649383,0.00000852822789788247
"CDH1",999,0.532068018079426,0.0000129377745246486
"TDRD7",23424,0.574796690964395,0.0000260624793852635
"FAM102A",399665,-0.47092328959812,0.000038565282911804
"PTGS2",5743,0.639400638643718,0.0000387087079046443
"NCOA7",135112,0.475720417754468,0.0000469356329306919
"COL1A1",1277,-0.63009733780191,0.0000682984556366359
"KLHL21",9903,-0.545091976390835,0.000100898293443623
"CP",1356,0.708158117486619,0.000103416406554365
"PSME2",5721,0.42064002619029,0.000107684677990778
"IFI44",10561,4.61149844321906,0.000128197898027009
"SNAP25",6616,0.658715759291467,0.000153144003192845
"IFITM3",10410,0.856924067626714,0.000164280480063385
"CXCL1",2919,0.528277633631224,0.000164991376838912
"NT5DC2",64943,-0.503877089524288,0.000285188625228973
"NPTX1",4884,-0.468808729630473,0.00033108924166772
"DANCR",57291,-0.573216929010766,0.00033108924166772
"C8orf4",56892,0.437879944352292,0.000358773078850374
"CFH",3075,0.777971966172537,0.000369702218535022
"EHF",26298,0.745920901816525,0.000378389474292575
"NEU1",4758,-0.469626924128888,0.000381213802810072
"B2M",567,0.482614886697994,0.000453576900655613
"PSME1",5720,0.39801578600011,0.000453576900655613
"NUPR1",26471,-0.933445052685563,0.0004888650636836
"ID1",3397,0.422929799015081,0.000502579015619704
"PHF11",51131,0.892342911704871,0.000502579015619704
"PTPN12",5782,0.533475130864443,0.000857022411071698
"SAMD9",54809,1.67729459786758,0.000944515700813167
"PDK4",5166,0.657603861739941,0.00097439266325093
"IFT81",28981,0.496856201777118,0.00097439266325093
"CXCL3",2921,0.596303764392567,0.00119086660429649
"STEAP1",26872,0.696065209194321,0.00124374466034863
"MMD",23531,0.641265031801219,0.00153775209134361
"KYNU",8942,0.475200497154351,0.00165523749925409
"BCL2A1",597,0.855981388064956,0.00167232772530963
"HSP90B1",7184,0.40404812806622,0.00170504801152902
"SQSTM1",8878,-0.374391746947714,0.00170504801152902
"NUCB2",4925,0.595035891360785,0.00174762444803758
"CMPK2",129607,2.02480192964395,0.00182164478473307
"FGG",2266,1.01695693887868,0.00182803018944739
"NAV2",89797,-0.46663603682187,0.00182803018944739
"IL3RA",3563,-0.948652793726818,0.0018529066501352
"HIF1A",3091,0.431284604069172,0.00185913677021586
"MAP3K14",9020,-0.481651802970105,0.00195558561663726
"KTN1",3895,0.4685201303998,0.00199256769247592
"SUSD2",56241,0.55707624086906,0.0020674696514682
"PLA2G4A",5321,0.566166574002557,0.00233822965424188
"AMDHD2",51005,-0.59180237415191,0.00235565180675702
"MZT2B",80097,-0.471706953248463,0.00239349063923093
"LCN2",3934,0.575040173966094,0.0027263164812653
"PDIA3",2923,0.345869953685623,0.00279631656487688
"IFI16",3428,1.21302908237573,0.00282791339061993
"ESF1",51575,0.504227027612206,0.0029809889477388
"IFIT2",3433,1.1581629168342,0.00319607008219695
"FILIP1",27145,0.58593260149616,0.00328272977848177
"HLA-F",3134,0.851545864492536,0.00401770261967576
"PSIP1",11168,0.408940914945265,0.00401770261967576
"UQCRB",7381,0.463601663279737,0.00455804002922281
"SLC16A3",9123,0.386193647032528,0.00456365528738419
"FLCN",201163,-0.44698995224875,0.00458544502231289
"SERPINA3",12,0.600487931591224,0.00468992282583423
"SMARCA1",6594,0.458227885933541,0.00487482450521002
"IFITM2",10581,0.530978318067709,0.00489348172256576
"CEBPZ",10153,0.500640780965156,0.00515706557508099
"DNAJC2",27000,0.446516979601894,0.00515706557508099
"CTNNAL1",8727,0.464997021637982,0.00520738132682838
"ZNFX1",57169,0.386962512874828,0.00572850297612816
"EDN1",1906,0.359338769228333,0.00582616020506973
"DUSP16",80824,0.372515264534232,0.00589974266841797
"GGT8P",645367,-0.695289588321107,0.00634097719392342
"ASS1",445,0.443838292890674,0.00646791689756038
"PLK2",10769,0.329822372987925,0.00662695957857289
"PLEC",5339,-0.351549126815292,0.00830649725539808
"SERPINE1",5054,-0.352101212214141,0.00868031598868757
"FGB",2244,0.599539651093875,0.00879011941055714
"LOC284454",284454,-0.572004437899228,0.00902302003355464
"GBP3",2635,0.775859859838205,0.00918456957957321
"TRIM21",6737,0.466032298700833,0.0096427875537037
"APOL6",80830,0.593993078715692,0.0096427875537037
"SNORD26",9302,2.14254995696615,0.00967923680812242
"HLA-B",3106,0.566527097416469,0.00986410439944425
"CDCP1",64866,0.391285988948608,0.00986410439944425
"DDIT3",1649,-0.660794997123209,0.00994705423592626
"TNFRSF10D",8793,-0.384373978950346,0.0115929486319097
"GBP1",2633,1.01813801130145,0.0117269740077703
"EHBP1",23301,0.380619504953628,0.0117269740077703
"TM4SF20",79853,0.476778557174309,0.0117269740077703
"NFKBIA",4792,0.353931237854885,0.0117401832572979
"MATN2",4147,-0.392419967434761,0.0117902003909982
"NECAB2",54550,-0.899645846345363,0.0119457241308427
"SLC36A1",206358,-0.475258165688358,0.0119457241308427
"NFYB",4801,0.5120495666312,0.0119797099452752
"HLA-C",3107,0.33058966230988,0.0123319729245187
"IFNGR1",3459,0.486947138130065,0.0123407743456507
"STK17A",9263,0.439831163146544,0.0123980422479059
"CLN8",2055,-0.423813952362738,0.0124921938407916
"PDLIM5",10611,0.393725336756501,0.0126977167830762
"SUB1",10923,0.412848936666271,0.0141591655666743
"PRPF38B",55119,0.424078959360646,0.0143713926094374
"ODF3B",440836,0.668571631302463,0.015319826050508
"MSH6",2956,0.332943536505641,0.0158490713771605
"UNKL",64718,-0.410995937006446,0.0158897860401334
"PPIG",9360,0.467783515938748,0.0161599505468967
"WDR81",124997,-0.365592740769948,0.0162099416176913
"RDX",5962,0.401052083493958,0.0167218963655494
"IGFBP3",3486,0.287646794878049,0.0169622444657314
"GREM1",26585,0.447223859193754,0.0173425953913795
"PAPPA",5069,0.28527701272559,0.0174749179681282
"PCNA",5111,0.415195364449863,0.0174749179681282
"FA2H",79152,-0.415055907912059,0.0185381894572582
"MAP3K8",1326,0.367775246037211,0.0188125524422178
"CYB5A",1528,0.326920942687594,0.0188125524422178
"SMC3",9126,0.434441411196051,0.0190035343996554
"PRAME",23532,0.306347564647342,0.0190772116330564
"NOP58",51602,0.353101519422512,0.0194379914826541
"METRN",79006,-0.392602253798055,0.0194379914826541
"MASTL",84930,0.427067618520567,0.0195427814923211
"ZNF326",284695,0.402192800260849,0.0197175085342512
"PHF19",26147,-0.327995075383615,0.0199148741278619
"CAMKK1",84254,-0.409425018093532,0.0199148741278619
"ALDH3B1",221,-0.312180909890372,0.0218725436274468
"C5",727,0.428515134811574,0.0221351868132118
"MRPL33",9553,0.345670032652252,0.0222627607044116
"GTF2E2",2961,0.357918238810147,0.0239035888344384
"NLRC5",84166,0.553303186169977,0.0239702003550202
"TET3",200424,-0.403447872201435,0.0240590207262167
"TNFAIP3",7128,0.384054677837879,0.0241396339615381
"PKD1L2",114780,-0.515544079236258,0.0241396339615381
"EREG",2069,0.457930987010302,0.0247481499617802
"SSB",6741,0.442554840089237,0.024813605339847
"SNX8",29886,-0.344012125437065,0.0264091156083273
"SMARCA5",8467,0.364154520974671,0.0276437807318905
"MORC4",79710,0.307316746107032,0.0276437807318905
"MAFG",4097,-0.301802000849698,0.0285259887797543
"CA9",768,0.483271178858206,0.0286685873431003
"PLOD2",5352,0.429633059725854,0.0287017362148719
