logfc,adjpv,entrez,symbol
0.617419,0.00192303,16,AARS
-0.648209,0.00493975,19,ABCA1
-0.691755,0.0244443,104,ADARB1
-1.21488,0.00192303,107,ADCY1
10,0.0199573,100500871,MIR3622B
-0.83762,0.0120542,150,ADRA2A
1.61893,0.00192303,176,ACAN
-1.04926,0.00192303,216,ALDH1A1
1.3725,0.00192303,249,ALPL
-0.601095,0.00192303,284,ANGPT1
-0.634816,0.00192303,287,ANK2
-0.654008,0.00351547,301,ANXA1
-0.984322,0.0448119,330,BIRC3
-0.619998,0.0208567,348,APOE
0.614048,0.00867651,379,ARL4D
-0.768856,0.00192303,388,RHOB
-0.955167,0.00982108,443,ASPA
-1.11142,0.00192303,467,ATF3
0.763176,0.00192303,490,ATP2B1
1.91299,0.00192303,579,NKX3-2
0.970618,0.00192303,586,BCAT1
0.865289,0.0244443,596,BCL2
1.33368,0.0260452,597,BCL2A1
-0.677506,0.00867651,623,BDKRB1
-0.964152,0.00192303,624,BDKRB2
0.677467,0.0487259,639,PRDM1
-1.00777,0.0309235,699,BUB1
-1.25535,0.0286049,701,BUB1B
-0.766028,0.0235895,730,C7
0.769535,0.0170861,773,CACNA1A
-0.728712,0.00192303,131873,COL6A6
-0.836047,0.0109172,834,CASP1
-2.23278,0.00192303,886,CCKAR
-0.813424,0.0151252,891,CCNB1
2.13027,0.00192303,929,CD14
-0.877181,0.0141238,958,CD40
0.625097,0.00192303,968,CD68
-0.857909,0.0332554,991,CDC20
0.730893,0.00192303,1051,CEBPB
-0.800629,0.0301448,1063,CENPF
-0.637227,0.0180336,1075,CTSC
-0.655923,0.00192303,1123,CHN1
0.667756,0.0160905,1195,CLK1
1.25509,0.0487259,1236,CCR7
-1.0118,0.00493975,1272,CNTN1
1.06125,0.00192303,1307,COL16A1
2.30731,0.00192303,1311,COMP
-1.16138,0.00192303,1316,KLF6
0.70383,0.00192303,1382,CRABP2
3.77262,0.00192303,1396,CRIP1
-0.686413,0.00192303,1404,HAPLN1
-1.01421,0.00192303,1466,CSRP2
-0.806968,0.00192303,1490,CTGF
-1.17433,0.00192303,1520,CTSS
0.723214,0.00192303,1545,CYP1B1
1.44246,0.00192303,1551,CYP3A7
3.42407,0.00192303,1577,CYP3A5
1.89398,0.00192303,1588,CYP19A1
9.29765,0.00192303,1591,CYP24A1
-0.648012,0.00192303,1612,DAPK1
0.688523,0.0208567,1636,ACE
0.868882,0.00192303,1717,DHCR7
0.738611,0.00192303,1718,DHCR24
-0.850342,0.00750483,1756,DMD
-1.2285,0.00192303,1767,DNAH5
1.22883,0.00192303,1803,DPP4
-0.767697,0.00192303,1843,DUSP1
-1.63041,0.00192303,1847,DUSP5
-0.901107,0.00192303,1848,DUSP6
-0.669965,0.0199573,1901,S1PR1
-0.604957,0.00493975,1903,S1PR3
0.635476,0.0252741,1910,EDNRB
0.684171,0.0120542,1946,EFNA5
0.666928,0.00493975,1948,EFNB2
