symbol,entrez,logfc,adjpv
"CFB",629,1.11677854469241,0.000001
"C1R",715,0.868254394176592,0.000001
"C1S",716,0.722128761986431,0.000001
"C3",718,0.688635678809131,0.000001
"IFI6",2537,4.33374584467612,0.000001
"CXCL2",2920,0.67282954345791,0.000001
"IFI27",3429,3.5333921656073,0.000001
"IFI35",3430,1.14939115195029,0.000001
"SP110",3431,1.28089559563515,0.000001
"IFIT1",3434,4.2966371906534,0.000001
"IFIT3",3437,1.96962043806751,0.000001
"IL8",3576,0.723290211910006,0.000001
"IRF7",3665,3.18464979188666,0.000001
"LGALS3BP",3959,0.654514455644059,0.000001
"MX1",4599,5.06686251506369,0.000001
"OAS1",4938,1.54406749883393,0.000001
"OAS2",4939,4.19145662055822,0.000001
"OAS3",4940,1.3886718412228,0.000001
"PLSCR1",5359,1.07982799419969,0.000001
"EIF2AK2",5610,1.23528147820688,0.000001
"RAP1GAP",5909,-0.661703508699729,0.000001
"SAT1",6303,0.665449995637611,0.000001
"CCL20",6364,1.0226696674891,0.000001
"CXCL5",6374,0.770849711252075,0.000001
"SP100",6672,0.936549499755338,0.000001
"STAT1",6772,1.32522211782807,0.000001
"OASL",8638,2.68935640303306,0.000001
"UBE2L6",9246,0.759337108638722,0.000001
"ISG15",9636,3.76665175742994,0.000001
"TRIM14",9830,1.14381689277139,0.000001
"REC8",9985,1.38784415252234,0.000001
"IRF9",10379,2.16046346765366,0.000001
"DDX58",23586,1.77200656148527,0.000001
"IFIT5",24138,0.940940962787379,0.000001
"SAMHD1",25939,0.97870026129138,0.000001
"LAP3",51056,0.956858420278345,0.000001
"HERC5",51191,0.902829871670056,0.000001
"PARP14",54625,0.885106384633022,0.000001
"HERC6",55008,1.46115929894876,0.000001
"C19orf66",55337,0.867586001241816,0.000001
"DDX60",55601,2.29974191240372,0.000001
"IFIH1",64135,1.81198066342222,0.000001
"PARP12",64761,0.862692953417069,0.000001
"PARP9",83666,2.07503354148675,0.000001
"PARP10",84875,1.91241879505489,0.000001
"HELZ2",85441,1.49937904435833,0.000001
"DDX60L",91351,0.995596398398632,0.000001
"DTX3L",151636,1.38043879150663,0.000001
"SAMD9L",219285,1.88644092961509,0.000001
"OSGIN1",29948,-0.643572537598064,0.00000186693941936914
"USP18",11274,0.920202706179045,0.00000352178008732568
"FGA",2243,0.630887611040706,0.00000382644748484781
"IFITM1",8519,4.21280280774313,0.00000416395568487585
"PNPT1",87178,0.678547531878462,0.00000479852782527592
"TYMP",1890,0.773553773711954,0.0000049526296006133
"KRT4",3851,-1.14552783953536,0.00000497174174471115
"UAP1L1",91373,-0.742817892276271,0.00000591690552889823
"APOL1",8542,0.75063449037977,0.00000618637972795715
"PTGS2",5743,0.639400638643718,0.0000387087079046443
"COL1A1",1277,-0.63009733780191,0.0000682984556366359
"CP",1356,0.708158117486619,0.000103416406554365
"IFI44",10561,4.61149844321906,0.000128197898027009
"SNAP25",6616,0.658715759291467,0.000153144003192845
"IFITM3",10410,0.856924067626714,0.000164280480063385
"CFH",3075,0.777971966172537,0.000369702218535022
"EHF",26298,0.745920901816525,0.000378389474292575
"NUPR1",26471,-0.933445052685563,0.0004888650636836
"PHF11",51131,0.892342911704871,0.000502579015619704
"SAMD9",54809,1.67729459786758,0.000944515700813167
"PDK4",5166,0.657603861739941,0.00097439266325093
"CXCL3",2921,0.596303764392567,0.00119086660429649
"STEAP1",26872,0.696065209194321,0.00124374466034863
"MMD",23531,0.641265031801219,0.00153775209134361
"BCL2A1",597,0.855981388064956,0.00167232772530963
"NUCB2",4925,0.595035891360785,0.00174762444803758
"CMPK2",129607,2.02480192964395,0.00182164478473307
"FGG",2266,1.01695693887868,0.00182803018944739
"IL3RA",3563,-0.948652793726818,0.0018529066501352
"AMDHD2",51005,-0.59180237415191,0.00235565180675702
"IFI16",3428,1.21302908237573,0.00282791339061993
"IFIT2",3433,1.1581629168342,0.00319607008219695
"FILIP1",27145,0.58593260149616,0.00328272977848177
"HLA-F",3134,0.851545864492536,0.00401770261967576
"SERPINA3",12,0.600487931591224,0.00468992282583423
"GGT8P",645367,-0.695289588321107,0.00634097719392342
"FGB",2244,0.599539651093875,0.00879011941055714
"GBP3",2635,0.775859859838205,0.00918456957957321
"APOL6",80830,0.593993078715692,0.0096427875537037
"SNORD26",9302,2.14254995696615,0.00967923680812242
"DDIT3",1649,-0.660794997123209,0.00994705423592626
"GBP1",2633,1.01813801130145,0.0117269740077703
"NECAB2",54550,-0.899645846345363,0.0119457241308427
"ODF3B",440836,0.668571631302463,0.015319826050508
"CCL5",6352,0.8068799584881,0.0288397723113016
"BATF2",116071,1.31122027064892,0.0322226470837996
"AOX1",316,0.761868977964465,0.042160409871057
"THEMIS2",9473,1.60281854541145,0.0443511121251966
"MXRA8",54587,-0.778471467590337,0.0488684931743729
