symbol,entrez,logfc,adjpv
"METTL7A",25840,-1.03372789811454,0.0000155919758846792
"STAT1",6772,0.524980693861676,0.0000163614715902449
"KRT17",3872,0.474881597500113,0.000016876909039103
"VEGFA",7422,0.446508520958839,0.0000172512975512806
"ZBED2",79413,0.615304150689953,0.0000175376304531181
"ADAM8",101,1.01640381371777,0.0000178729460810871
"EHD1",10938,0.641655288291837,0.0000217959773929819
"DTX2",113878,0.7952901563992,0.0000219856600174412
"CPA4",51200,-0.495907548722613,0.0000234741478680782
"RHOF",54509,0.781816108334607,0.0000235484141244196
"ASS1",445,0.513573703522418,0.0000256483713394656
"TNC",3371,0.557279475041455,0.0000280356780337922
"HDGF",3068,0.410148462165663,0.0000417788788693915
"KRT23",25984,0.589640408267315,0.0000417788788693915
"CD109",135228,-0.445572968847688,0.0000417788788693915
"NFKB1",4790,0.509015470394555,0.0000561471379485901
"SEPP1",6414,-0.898563045442944,0.0000561471379485901
"SESN3",143686,-0.740915610486304,0.0000561471379485901
"DUSP10",11221,-0.557657390690601,0.0000639939842732699
"PRSS23",11098,-0.453229568467254,0.0000648734923688317
"ITGB3",3690,1.1999818963835,0.0000802964836606601
"F3",2152,0.415674566698398,0.0000818978193375032
"CDC42EP2",10435,0.736826243635371,0.0000924324337312205
"FDPS",2224,0.486821216174381,0.000105387489026745
"CYP27B1",1594,1.20801566295227,0.000110046271136
"TNFSF14",8740,1.99462875868218,0.000115097198889722
"ENDOD1",23052,-0.468506986550095,0.000115097198889722
"ANGPTL4",51129,0.53230043024653,0.000119206138608118
"SLITRK6",84189,-0.601528970670845,0.000120546561970926
"AQP3",360,-0.491989607450269,0.000123290908518542
"IKBKE",9641,0.708205242558879,0.000149877000683694
"WWC1",23286,0.500766210414443,0.000149877000683694
"SLC25A37",51312,0.624865124384881,0.000149877000683694
"C15orf52",388115,0.475726447129393,0.000149877000683694
"RND1",27289,1.51848756483258,0.000151274098672634
"PCDH7",5099,-0.618561594089818,0.000160730167939158
"BMP2",650,0.786162550192972,0.00019620515645889
"PBX1",5087,-0.659853595631596,0.00019620515645889
"OTUB2",78990,0.628101014539333,0.000206455451523076
"IRF7",3665,1.57521798901859,0.000207908133354164
"CXCL16",58191,0.516356379513384,0.000210099829248162
"SERPINB13",5275,-0.722820631036605,0.000210544244540724
"HCAR3",8843,0.624949184019069,0.000216810480575178
