logfc,adjpv,entrez,symbol
-0.919702,0.012305,327766,Tmem26
-0.813459,0.024603,98402,Sh3bp4
0.609359,0.0294508,98404,AI597479
-1.34851,0.0273354,98432,Phlpp1
2.39278,0.00539213,100861855,Gm16170
1.09129,0.0181704,229801,Tram1l1
-0.903494,0.0013758,229841,Cenpe
0.980728,0.0129939,66090,Ypel3
-0.845988,0.0163,328232,Gfod1
-1.45528,0.0013758,230098,Arhgef39
-0.697008,0.0477177,99100,Cep152
0.772868,0.00539213,66406,Sac3d1
-0.789987,0.0257089,66471,Anp32e
0.648692,0.0325616,66510,Rnf181
0.767339,0.0013758,66522,Pgpep1
1.40191,0.024603,66568,Rwdd3
-0.870261,0.0390286,99382,Abtb2
-0.777226,0.0013758,66616,Snx9
0.95745,0.00353601,66701,Spryd4
-0.887876,0.0013758,328949,Mcc
0.674599,0.0129939,66822,Fbxo25
-0.778555,0.00867044,328968,Mir143hg
-0.770286,0.0181704,66860,Tanc1
-0.977432,0.0013758,99633,Lphn2
1.63684,0.00353601,230726,Rhbdl2
-0.612794,0.0385437,66929,Asf1b
0.702459,0.00251504,230784,Sesn2
-0.658851,0.044584,66949,Trim59
1.25561,0.0013758,66948,Acad8
-0.776003,0.0193824,66953,Cdca7
-0.724147,0.0013758,230815,Man1c1
-0.671858,0.00625394,66977,Nuf2
4.22125,0.013681,230824,Grhl3
0.955579,0.00449033,230837,Asap3
0.978386,0.0205864,67009,Ttc23
0.891044,0.0013758,67011,Mettl6
-0.72706,0.0355635,67141,Fbxo5
0.986043,0.00708637,230991,B930041F14Rik
0.956867,0.0494813,67168,Lpar6
1.06773,0.00788749,67217,L3hypdh
1.3987,0.0013758,67226,Tmem19
0.750367,0.01693,67369,Qpctl
-0.801835,0.00251504,329628,Fat4
1.33935,0.0108929,67564,Tmem35
1.17703,0.00353601,100340,Smpdl3b
1.23806,0.0013758,329727,Dennd2c
-0.646478,0.0163,231633,Tmem119
2.15432,0.0013758,67874,Rprm
0.660028,0.00449033,67876,Coq10b
2.26865,0.0013758,67880,Dcxr
-0.97254,0.0013758,67916,Ppap2b
0.613919,0.0193824,67920,Mak16
0.77436,0.0013758,67941,Rps27l
-0.737721,0.0101732,67956,Setd8
-0.653779,0.0422939,231801,Agfg2
-1.63264,0.0013758,231861,Tnrc18
0.615996,0.0395144,68048,Aen
0.676707,0.0251627,68212,Tmbim4
0.775634,0.0330496,68316,Apoo
1.22226,0.0013758,68337,Crip2
1.22761,0.00251504,68423,Ankrd13d
0.704021,0.0294508,68473,Mob1b
0.91164,0.0228997,101240,Wdr91
-0.818716,0.00867044,68519,Eml1
-0.82492,0.015666,68549,Sgol2
0.760349,0.00353601,68559,Pdrg1
1.4324,0.0013758,68567,Cgref1
0.727863,0.0108929,232440,H2afj
1.14261,0.0013758,68618,1110012L19Rik
-0.824408,0.0013758,330812,Rnf150
3.86393,0.0013758,68666,Svop
0.635423,0.00708637,232539,Klhl42
1.04838,0.0310254,232566,Amn1
-1.04942,0.0013758,68743,Anln
-0.687743,0.0013758,68813,Dock5
-0.607223,0.0273354,101706,Numa1
1.35472,0.0013758,69234,Zfp688
-1.35878,0.0013758,233107,Kctd15
-0.808036,0.0477177,69274,Ctdspl
3.83928,0.0013758,69327,1700007K13Rik
-0.88807,0.0101732,331623,Bend3
1.07295,0.00708637,233335,Synm
-0.981158,0.00449033,233406,Prc1
-0.62166,0.00625394,69608,Sec24d
0.890641,0.0013758,69635,Dapk1
0.925045,0.0108929,102626,Mapkapk3
-1.25742,0.0013758,233733,Galnt18
-1.59026,0.0418279,233752,Insc
0.632887,0.0395144,102791,Tcta
1.55033,0.0409129,100504687,2810029C07Rik
1.07329,0.0013758,332397,Nanos1
-0.877294,0.0355635,70417,Megf10
-0.990809,0.0013758,70466,Ckap2l
0.605126,0.0217461,234378,Klhl26
-0.891366,0.0013758,70549,Tln2
1.65222,0.00251504,70574,Cpm
0.737135,0.0101732,234463,Tmem184c
-0.765868,0.0175554,70661,Sik3
-0.646787,0.00251504,70790,Ubr5
3.91133,0.0013758,234673,Ces2e
2.07687,0.0013758,70967,Eva1c
2.30202,0.0013758,333182,Cox6b2
1.63,0.0013758,235086,Igsf9b
-0.62831,0.00449033,71371,Arid5b
1.08051,0.0013758,104175,Sbk1
-1.09846,0.0013758,71409,Fmnl2
3.1959,0.0013758,235281,Scn3b
2.54715,0.0013758,104271,Tex15
1.31949,0.0404618,235345,4833427G06Rik
-0.963431,0.00353601,71566,Clmp
-0.673889,0.0013758,71602,Myo1e
1.02887,0.0013758,235493,Fam214a
-0.795732,0.013681,104445,Cdc42ep1
0.718429,0.0101732,71684,Rbm43
0.763819,0.046397,268395,Mpg
-0.878369,0.0013758,71819,Kif23
2.41767,0.037559,235674,Acaa1b
2.06545,0.00867044,71837,1700003E16Rik
-1.12545,0.0108929,268515,Bahcc1
-1.06932,0.0013758,72007,Fndc3b
1.89783,0.0187789,629059,Fam124a
-1.42,0.00943001,72080,Sapcd2
-1.04208,0.0013758,268697,Ccnb1
-1.155,0.0013758,72119,Tpx2
-0.728296,0.0013758,170439,Elovl6
0.812519,0.048607,72167,Thumpd2
-0.703527,0.0268024,72293,Nkd2
-0.835391,0.0013758,170643,Kirrel
1.94618,0.0013758,72361,Ces2g
-0.731004,0.00788749,268970,Arhgap28
-1.27165,0.00788749,72391,Cdkn3
1.20857,0.0013758,105171,Arrdc3
-0.922244,0.013681,269037,Ctif
1.02647,0.0175554,170770,Bbc3
1.30552,0.0175554,72514,Fgfbp3
-0.888459,0.0013758,170829,Tram2
-1.20792,0.0013758,269152,Kif26b
-0.680392,0.0360685,72549,Reep4
-0.932332,0.0013758,72565,Uaca
-0.822736,0.0223296,170942,Erdr1
-0.636542,0.015004,105445,Dock9
-0.92194,0.0499427,72701,Zfp618
1.26359,0.0013758,105501,Abhd4
1.60277,0.0481749,269356,Slc4a11
-0.655321,0.00251504,105559,Mbnl2
-0.605102,0.019979,171212,Galnt10
-0.703787,0.0013758,105722,Ano6
1.32499,0.0013758,105732,Fam83h
-0.70974,0.048607,269582,Clspn
2.69007,0.0116108,269589,Sytl1
